SKU;Ціна фіду стара;Ціна фіду нова;Зміна фіду %;Наша ціна стара;Наша ціна нова;Зміна нашої %;CPA %;Доступний;Залишок;Причина алерту
GEAD1401;1941.00;1941.00;+0.00%;2240.00;2240.00;+0.00%;15.14%;Ні;*;недоступний у фіді
GED2224;5299.00;5299.00;+0.00%;6110.00;6110.00;+0.00%;15.17%;Ні;*;недоступний у фіді
GFG-1.4;5332.00;5332.00;+0.00%;6040.00;6040.00;+0.00%;13.20%;Ні;*;недоступний у фіді
GI12111;113740.00;113740.00;+0.00%;130500.00;130500.00;+0.00%;14.73%;Ні;*;недоступний у фіді
GI12114-220;31944.00;31944.00;+0.00%;36650.00;36650.00;+0.00%;14.73%;Ні;*;недоступний у фіді
GI12153;411.00;411.00;+0.00%;480.00;480.00;+0.00%;14.73%;Ні;*;недоступний у фіді
GI12157;456.00;456.00;+0.00%;530.00;530.00;+0.00%;14.73%;Ні;*;недоступний у фіді
GI12162;968.00;968.00;+0.00%;1120.00;1120.00;+0.00%;14.73%;Ні;*;недоступний у фіді
GI12164;352.00;352.00;+0.00%;410.00;410.00;+0.00%;15.00%;Ні;*;недоступний у фіді
GI12165;282.00;282.00;+0.00%;330.00;330.00;+0.00%;14.73%;Ні;*;недоступний у фіді
GI12167;617.00;617.00;+0.00%;710.00;710.00;+0.00%;14.73%;Ні;*;недоступний у фіді
GI12168;617.00;617.00;+0.00%;710.00;710.00;+0.00%;14.73%;Ні;*;недоступний у фіді
GI12207;6292.00;6292.00;+0.00%;7240.00;7240.00;+0.00%;15.00%;Ні;*;недоступний у фіді
GI13110-220;37752.00;37752.00;+0.00%;43420.00;43420.00;+0.00%;15.00%;Ні;*;недоступний у фіді
GI13114-220;55176.00;55176.00;+0.00%;63460.00;63460.00;+0.00%;15.00%;Ні;*;недоступний у фіді
GI15113;55660.00;55660.00;+0.00%;64010.00;64010.00;+0.00%;15.00%;Ні;*;недоступний у фіді
GI19113;48400.00;48400.00;+0.00%;55660.00;55660.00;+0.00%;15.00%;Ні;*;недоступний у фіді
GI20201;55660.00;55660.00;+0.00%;64010.00;64010.00;+0.00%;15.00%;Ні;*;недоступний у фіді
GI37207;23426.00;23426.00;+0.00%;26940.00;26940.00;+0.00%;15.00%;Ні;*;недоступний у фіді
GIZMATIС3045;9848.00;9848.00;+0.00%;11330.00;11330.00;+0.00%;15.00%;Ні;*;недоступний у фіді
GM100X;5239.00;5239.00;+0.00%;5960.00;5960.00;+0.00%;13.71%;Ні;*;недоступний у фіді
GM1030;2181.00;2181.00;+0.00%;2510.00;2510.00;+0.00%;14.69%;Ні;*;недоступний у фіді
GM1030C;1668.00;1668.00;+0.00%;1920.00;1920.00;+0.00%;14.69%;Ні;*;недоступний у фіді
GM1250;4245.00;4245.00;+0.00%;4870.00;4870.00;+0.00%;14.69%;Ні;*;недоступний у фіді
GM1356;2158.00;2158.00;+0.00%;2480.00;2480.00;+0.00%;14.69%;Ні;*;недоступний у фіді
GM1357;1787.00;1787.00;+0.00%;2050.00;2050.00;+0.00%;14.69%;Ні;*;недоступний у фіді
GM1360;1609.00;1609.00;+0.00%;1850.00;1850.00;+0.00%;14.69%;Ні;*;недоступний у фіді
GM220;10912.00;10912.00;+0.00%;12410.00;12410.00;+0.00%;13.71%;Ні;*;недоступний у фіді
GM280;13094.00;13094.00;+0.00%;14890.00;14890.00;+0.00%;13.71%;Ні;*;недоступний у фіді
GM300H;852.00;852.00;+0.00%;980.00;980.00;+0.00%;14.69%;Ні;*;недоступний у фіді
GM3110;1165.00;1165.00;+0.00%;1350.00;1350.00;+0.00%;15.51%;Ні;*;недоступний у фіді
GM3123;6259.00;6259.00;+0.00%;7230.00;7230.00;+0.00%;15.51%;Ні;*;недоступний у фіді
GM3125;9808.00;9808.00;+0.00%;11330.00;11330.00;+0.00%;15.51%;Ні;*;недоступний у фіді
GM510;2983.00;2983.00;+0.00%;3440.00;3440.00;+0.00%;15.24%;Ні;*;недоступний у фіді
GM511;3925.00;3925.00;+0.00%;4530.00;4530.00;+0.00%;15.24%;Ні;*;недоступний у фіді
GM533;634.00;634.00;+0.00%;730.00;730.00;+0.00%;14.69%;Ні;*;недоступний у фіді
GM550H;946.00;946.00;+0.00%;1090.00;1090.00;+0.00%;14.69%;Ні;*;недоступний у фіді
GM62;1407.00;1407.00;+0.00%;1610.00;1610.00;+0.00%;13.81%;Ні;*;недоступний у фіді
GM650;965.00;965.00;+0.00%;1110.00;1110.00;+0.00%;14.51%;Ні;*;недоступний у фіді
GM761;1684.00;1684.00;+0.00%;1940.00;1940.00;+0.00%;15.00%;Ні;*;недоступний у фіді
GM87;721.00;721.00;+0.00%;830.00;830.00;+0.00%;15.00%;Ні;*;недоступний у фіді
GM8801;4209.00;4209.00;+0.00%;4830.00;4830.00;+0.00%;14.69%;Ні;*;недоступний у фіді
GM8805;3453.00;3453.00;+0.00%;3970.00;3970.00;+0.00%;14.69%;Ні;*;недоступний у фіді
GM8806;12004.00;12004.00;+0.00%;13770.00;13770.00;+0.00%;14.69%;Ні;*;недоступний у фіді
GP3J800;6519.00;6519.00;+0.00%;7480.00;7480.00;+0.00%;14.60%;Ні;*;недоступний у фіді
GRAJ1501;2515.00;2515.00;+0.00%;2890.00;2890.00;+0.00%;14.88%;Ні;*;недоступний у фіді
GSAB1401;2649.00;2649.00;+0.00%;3050.00;3050.00;+0.00%;14.88%;Ні;*;недоступний у фіді
GT3251;10865.00;10865.00;+0.00%;12470.00;12470.00;+0.00%;14.69%;Ні;*;недоступний у фіді
GT5105A;5471.00;5471.00;+0.00%;6320.00;6320.00;+0.00%;15.51%;Ні;*;недоступний у фіді
GT887NS-AL390 380V;160072.00;160072.00;+0.00%;183670.00;183670.00;+0.00%;14.74%;Ні;*;недоступний у фіді
GT889NS-AL390 380V;167156.00;167156.00;+0.00%;191800.00;191800.00;+0.00%;14.74%;Ні;*;недоступний у фіді
GTSL0510;52.00;52.00;+0.00%;60.00;60.00;+0.00%;15.29%;Ні;*;недоступний у фіді
GTSL0615;63.00;63.00;+0.00%;80.00;80.00;+0.00%;15.29%;Ні;*;недоступний у фіді
GTSL0820;84.00;84.00;+0.00%;100.00;100.00;+0.00%;15.29%;Ні;*;недоступний у фіді
GTSL0930;127.00;127.00;+0.00%;150.00;150.00;+0.00%;15.29%;Ні;*;недоступний у фіді
GVD4602;23041.00;23041.00;+0.00%;26540.00;26540.00;+0.00%;15.17%;Ні;*;недоступний у фіді
GW10ST;126.00;126.00;+0.00%;150.00;150.00;+0.00%;15.21%;Ні;*;недоступний у фіді
GW17ST;176.00;176.00;+0.00%;210.00;210.00;+0.00%;15.21%;Ні;*;недоступний у фіді
H-1001A-1.4;4789.00;4789.00;+0.00%;5430.00;5430.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-3000-PT-1.8;3753.00;3753.00;+0.00%;4250.00;4250.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-3003-DIGITAL-1.3;5104.00;5104.00;+0.00%;5780.00;5780.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-3003-DIGITAL-1.3LM;5104.00;5104.00;+0.00%;5780.00;5780.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-3003-DIGITAL-1.4;5104.00;5104.00;+0.00%;5780.00;5780.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-3003-DIGITAL-1.4LM;5104.00;5104.00;+0.00%;5780.00;5780.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-3003A-1.3LM;4649.00;4649.00;+0.00%;5270.00;5270.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-3003A-1.4;5347.00;5347.00;+0.00%;6060.00;6060.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-3003A-1.7;5347.00;5347.00;+0.00%;6060.00;6060.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-3003A-1.7LM;5347.00;5347.00;+0.00%;6060.00;6060.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-3003A-MINI-0.8;3541.00;3541.00;+0.00%;4010.00;4010.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-4004-1.3;5762.00;5762.00;+0.00%;6530.00;6530.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-4004-1.3LM;5762.00;5762.00;+0.00%;6530.00;6530.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-4004-1.4;5762.00;5762.00;+0.00%;6530.00;6530.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-4004-1.4LM;5762.00;5762.00;+0.00%;6530.00;6530.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-5000-DIGITAL-1.3;9320.00;9320.00;+0.00%;10560.00;10560.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-5000-DIGITAL-1.3LM;9320.00;9320.00;+0.00%;10560.00;10560.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-5000-DIGITAL-1.4;9320.00;9320.00;+0.00%;10560.00;10560.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-5000-DIGITAL-1.4LM;9320.00;9320.00;+0.00%;10560.00;10560.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-5005-1.3;7323.00;7323.00;+0.00%;8290.00;8290.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-5005-1.3LM;7323.00;7323.00;+0.00%;8290.00;8290.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-5005-1.4;7323.00;7323.00;+0.00%;8290.00;8290.00;+0.00%;13.20%;Ні;*;недоступний у фіді
H-5005-1.4LM;7323.00;7323.00;+0.00%;8290.00;8290.00;+0.00%;13.20%;Ні;*;недоступний у фіді
HAAG2028;694.00;694.00;+0.00%;790.00;790.00;+0.00%;13.55%;Ні;*;недоступний у фіді
HBAB0219;199.00;199.00;+0.00%;230.00;230.00;+0.00%;15.34%;Ні;*;недоступний у фіді
HBP0501;699.00;699.00;+0.00%;810.00;810.00;+0.00%;14.60%;Ні;*;недоступний у фіді
HCRT0070;2678.00;2678.00;+0.00%;2970.00;2970.00;+0.00%;10.63%;Ні;*;недоступний у фіді
HCRT0240;2953.00;2953.00;+0.00%;3270.00;3270.00;+0.00%;10.63%;Ні;*;недоступний у фіді
HCRT0300;3090.00;3090.00;+0.00%;3420.00;3420.00;+0.00%;10.63%;Ні;*;недоступний у фіді
HCRT0400;8567.00;8567.00;+0.00%;9480.00;9480.00;+0.00%;10.63%;Ні;*;недоступний у фіді
HD-855;48972.00;48972.00;+0.00%;55800.00;55800.00;+0.00%;13.94%;Ні;*;недоступний у фіді
HKS0903;110.00;110.00;+0.00%;130.00;130.00;+0.00%;14.88%;Ні;*;недоступний у фіді
HMF0101;924.00;924.00;+0.00%;1070.00;1070.00;+0.00%;15.34%;Ні;*;недоступний у фіді
HNST0024;3860.00;3860.00;+0.00%;4390.00;4390.00;+0.00%;13.55%;Ні;*;недоступний у фіді
HNST0024A;5210.00;5210.00;+0.00%;5920.00;5920.00;+0.00%;13.55%;Ні;*;недоступний у фіді
HPT30GP;15400.00;15400.00;+0.00%;17710.00;17710.00;+0.00%;15.00%;Ні;*;недоступний у фіді
HRC05-06;36.00;36.00;+0.00%;50.00;50.00;+0.00%;14.33%;Ні;*;недоступний у фіді
HS-B1037;279.00;279.00;+0.00%;320.00;320.00;+0.00%;13.94%;Ні;*;недоступний у фіді
HS-E1088A;318.00;318.00;+0.00%;370.00;370.00;+0.00%;14.60%;Ні;*;недоступний у фіді
HS-E2010;1271.00;1271.00;+0.00%;1460.00;1460.00;+0.00%;14.60%;Ні;*;недоступний у фіді
HS-E3408-12;628.00;628.00;+0.00%;730.00;730.00;+0.00%;15.00%;Ні;*;недоступний у фіді
HS-E3463;3465.00;3465.00;+0.00%;3980.00;3980.00;+0.00%;14.60%;Ні;*;недоступний у фіді
HS-E3464;303.00;303.00;+0.00%;350.00;350.00;+0.00%;14.60%;Ні;*;недоступний у фіді
HSA2530;163.00;163.00;+0.00%;190.00;190.00;+0.00%;15.00%;Ні;*;недоступний у фіді
HSP0300;358.00;358.00;+0.00%;420.00;420.00;+0.00%;15.00%;Ні;*;недоступний у фіді
IBA-300;18552.00;18552.00;+0.00%;21210.00;21210.00;+0.00%;14.29%;Ні;*;недоступний у фіді
ICEMK003;1010.00;1010.00;+0.00%;1170.00;1170.00;+0.00%;15.00%;Ні;*;недоступний у фіді
IDC0106;160.00;160.00;+0.00%;190.00;190.00;+0.00%;13.65%;Ні;*;недоступний у фіді
IEB007068;43193.00;43193.00;+0.00%;49820.00;49820.00;+0.00%;15.34%;Ні;*;недоступний у фіді
IND-1000W;19184.00;19184.00;+0.00%;22010.00;22010.00;+0.00%;14.73%;Ні;*;недоступний у фіді
IPRT25TD;810.00;810.00;+0.00%;930.00;930.00;+0.00%;14.60%;Ні;*;недоступний у фіді
IPS-3502;24200.00;24200.00;+0.00%;27830.00;27830.00;+0.00%;15.00%;Ні;*;недоступний у фіді
ISDS0601;410.00;410.00;+0.00%;480.00;480.00;+0.00%;15.29%;Ні;*;недоступний у фіді
ISPH0210;48.00;48.00;+0.00%;60.00;60.00;+0.00%;15.29%;Ні;*;недоступний у фіді
ISSL0615;48.00;48.00;+0.00%;60.00;60.00;+0.00%;15.29%;Ні;*;недоступний у фіді
J20;1344.00;1344.00;+0.00%;1550.00;1550.00;+0.00%;14.97%;Ні;*;недоступний у фіді
JCDE0908;822.00;822.00;+0.00%;940.00;940.00;+0.00%;13.94%;Ні;*;недоступний у фіді
JCDE1212;877.00;877.00;+0.00%;1000.00;1000.00;+0.00%;13.94%;Ні;*;недоступний у фіді
JCDE1515;987.00;987.00;+0.00%;1130.00;1130.00;+0.00%;13.94%;Ні;*;недоступний у фіді
JCDF2425;2719.00;2719.00;+0.00%;3100.00;3100.00;+0.00%;13.94%;Ні;*;недоступний у фіді
JCM-0401;6586.00;6586.00;+0.00%;7510.00;7510.00;+0.00%;13.94%;Ні;*;недоступний у фіді
JDAU8595;360.00;360.00;+0.00%;420.00;420.00;+0.00%;14.60%;Ні;*;недоступний у фіді
JDAU95B0;360.00;360.00;+0.00%;420.00;420.00;+0.00%;14.60%;Ні;*;недоступний у фіді
JFAB0233;1070.00;1070.00;+0.00%;1220.00;1220.00;+0.00%;13.55%;Ні;*;недоступний у фіді
JFCC0140;1658.00;1658.00;+0.00%;1910.00;1910.00;+0.00%;15.00%;Ні;*;недоступний у фіді
JFDE0105;5080.00;5080.00;+0.00%;5850.00;5850.00;+0.00%;15.00%;Ні;*;недоступний у фіді
JGAE0203;1343.00;1343.00;+0.00%;1540.00;1540.00;+0.00%;13.94%;Ні;*;недоступний у фіді
JJAU0418;27372.00;27372.00;+0.00%;30920.00;30920.00;+0.00%;12.96%;Ні;*;недоступний у фіді
JJBA1402;1162.00;1162.00;+0.00%;1330.00;1330.00;+0.00%;13.94%;Ні;*;недоступний у фіді
JLAB0435;2234.00;2234.00;+0.00%;2530.00;2530.00;+0.00%;12.96%;Ні;*;недоступний у фіді
JLAB0445;2234.00;2234.00;+0.00%;2530.00;2530.00;+0.00%;12.96%;Ні;*;недоступний у фіді
JLAB0460;2234.00;2234.00;+0.00%;2530.00;2530.00;+0.00%;12.96%;Ні;*;недоступний у фіді
JLAD0406;2234.00;2234.00;+0.00%;2530.00;2530.00;+0.00%;12.96%;Ні;*;недоступний у фіді
JLBJ1035;1635.00;1635.00;+0.00%;1890.00;1890.00;+0.00%;15.00%;Ні;*;недоступний у фіді
JQ30;1173.00;1173.00;+0.00%;1350.00;1350.00;+0.00%;14.97%;Ні;*;недоступний у фіді
JRMR0107;726.00;726.00;+0.00%;840.00;840.00;+0.00%;14.60%;Ні;*;недоступний у фіді
K-401-9;194.00;194.00;+0.00%;230.00;230.00;+0.00%;13.94%;Ні;*;недоступний у фіді
K60;1785.00;1785.00;+0.00%;2060.00;2060.00;+0.00%;14.97%;Ні;*;недоступний у фіді
KAAC1660;5553.00;5553.00;+0.00%;6130.00;6130.00;+0.00%;10.38%;Ні;*;недоступний у фіді
KAAD3216;34648.00;34648.00;+0.00%;38250.00;38250.00;+0.00%;10.38%;Ні;*;недоступний у фіді
KAAL1610;9824.00;9824.00;+0.00%;10850.00;10850.00;+0.00%;10.38%;Ні;*;недоступний у фіді
KAAM1606;10978.00;10978.00;+0.00%;12120.00;12120.00;+0.00%;10.38%;Ні;*;недоступний у фіді
KABA4850;5116.00;5116.00;+0.00%;5900.00;5900.00;+0.00%;15.14%;Ні;*;недоступний у фіді
KABA4880;8545.00;8545.00;+0.00%;9840.00;9840.00;+0.00%;15.14%;Ні;*;недоступний у фіді
KABA4885;9286.00;9286.00;+0.00%;10700.00;10700.00;+0.00%;15.14%;Ні;*;недоступний у фіді
KABC1622;359.00;359.00;+0.00%;420.00;420.00;+0.00%;15.14%;Ні;*;недоступний у фіді
KACU3212;1810.00;1810.00;+0.00%;2090.00;2090.00;+0.00%;15.14%;Ні;*;недоступний у фіді
KAGA0204;220.00;220.00;+0.00%;250.00;250.00;+0.00%;10.63%;Ні;*;недоступний у фіді
KAGA0210;289.00;289.00;+0.00%;320.00;320.00;+0.00%;10.63%;Ні;*;недоступний у фіді
KAJC21B1;820.00;820.00;+0.00%;940.00;940.00;+0.00%;14.33%;Ні;*;недоступний у фіді
KAKC0595;7172.00;7172.00;+0.00%;7930.00;7930.00;+0.00%;10.47%;Ні;*;недоступний у фіді
KALD0302E;5145.00;5145.00;+0.00%;5890.00;5890.00;+0.00%;14.33%;Ні;*;недоступний у фіді
KB19ST;125.00;125.00;+0.00%;150.00;150.00;+0.00%;15.34%;Ні;*;недоступний у фіді
KBBC1626;316.00;316.00;+0.00%;370.00;370.00;+0.00%;15.14%;Ні;*;недоступний у фіді
KBEB0070;633.00;633.00;+0.00%;730.00;730.00;+0.00%;15.00%;Ні;*;недоступний у фіді
KBK1;260.00;260.00;+0.00%;300.00;300.00;+0.00%;15.34%;Ні;*;недоступний у фіді
KC-AT-4031B;136.00;136.00;+0.00%;160.00;160.00;+0.00%;14.33%;Ні;*;недоступний у фіді
KC-AT-4031KLB;179.00;179.00;+0.00%;210.00;210.00;+0.00%;14.33%;Ні;*;недоступний у фіді
KC-AT-4041KLB;196.00;196.00;+0.00%;230.00;230.00;+0.00%;14.33%;Ні;*;недоступний у фіді
KGNO36ST;216.00;216.00;+0.00%;250.00;250.00;+0.00%;15.08%;Ні;*;недоступний у фіді
KGNO46ST;238.00;238.00;+0.00%;280.00;280.00;+0.00%;15.08%;Ні;*;недоступний у фіді
KHAP0810E;8959.00;8959.00;+0.00%;10310.00;10310.00;+0.00%;15.00%;Ні;*;недоступний у фіді
KHAP1010E;10456.00;10456.00;+0.00%;12030.00;12030.00;+0.00%;15.00%;Ні;*;недоступний у фіді
KL-467;2145.00;2145.00;+0.00%;2450.00;2450.00;+0.00%;13.94%;Ні;*;недоступний у фіді
KPA-1639E;37918.00;37918.00;+0.00%;41820.00;41820.00;+0.00%;10.27%;Ні;*;недоступний у фіді
KPAA1650E;13659.00;13659.00;+0.00%;15070.00;15070.00;+0.00%;10.27%;Ні;*;недоступний у фіді
KPAB1685E;14575.00;14575.00;+0.00%;16080.00;16080.00;+0.00%;10.27%;Ні;*;недоступний у фіді
KPBA0840E;21656.00;21656.00;+0.00%;24080.00;24080.00;+0.00%;11.18%;Ні;*;недоступний у фіді
KPDB0803;1975.00;1975.00;+0.00%;2200.00;2200.00;+0.00%;11.18%;Ні;*;недоступний у фіді
KPDB0805;2775.00;2775.00;+0.00%;3090.00;3090.00;+0.00%;11.18%;Ні;*;недоступний у фіді
KPH-1607E;33983.00;33983.00;+0.00%;37790.00;37790.00;+0.00%;11.18%;Ні;*;недоступний у фіді
KPN-006ME;38934.00;38934.00;+0.00%;43080.00;43080.00;+0.00%;10.63%;Ні;*;недоступний у фіді
KPNA0510E;36252.00;36252.00;+0.00%;40110.00;40110.00;+0.00%;10.63%;Ні;*;недоступний у фіді
KPRA0306E;31951.00;31951.00;+0.00%;35350.00;35350.00;+0.00%;10.63%;Ні;*;недоступний у фіді
KR0810;34.00;34.00;+0.00%;40.00;40.00;+0.00%;15.21%;Ні;*;недоступний у фіді
KR1719;66.00;66.00;+0.00%;80.00;80.00;+0.00%;15.21%;Ні;*;недоступний у фіді
KSAU0808;5977.00;5977.00;+0.00%;6650.00;6650.00;+0.00%;11.18%;Ні;*;недоступний у фіді
KT100PU-6;479.00;479.00;+0.00%;550.00;550.00;+0.00%;14.73%;Ні;*;недоступний у фіді
KT100PU-8;509.00;509.00;+0.00%;590.00;590.00;+0.00%;14.73%;Ні;*;недоступний у фіді
KTPS06-PE;204.00;204.00;+0.00%;240.00;240.00;+0.00%;14.73%;Ні;*;недоступний у фіді
KTPS06-PP;204.00;204.00;+0.00%;240.00;240.00;+0.00%;14.73%;Ні;*;недоступний у фіді
KTPS06-PS;204.00;204.00;+0.00%;240.00;240.00;+0.00%;14.73%;Ні;*;недоступний у фіді
KTR0200;440.00;440.00;+0.00%;510.00;510.00;+0.00%;15.14%;Ні;*;недоступний у фіді
KTR0300;619.00;619.00;+0.00%;720.00;720.00;+0.00%;15.14%;Ні;*;недоступний у фіді
KTR0400;1007.00;1007.00;+0.00%;1160.00;1160.00;+0.00%;15.14%;Ні;*;недоступний у фіді
KTR0500;1368.00;1368.00;+0.00%;1580.00;1580.00;+0.00%;15.14%;Ні;*;недоступний у фіді
KVS0901;942.00;942.00;+0.00%;1090.00;1090.00;+0.00%;15.00%;Ні;*;недоступний у фіді
KWT4050;46860.00;46860.00;+0.00%;53400.00;53400.00;+0.00%;13.94%;Ні;*;недоступний у фіді
L-0802T;1347.00;1347.00;+0.00%;1550.00;1550.00;+0.00%;15.00%;Ні;*;недоступний у фіді
LA-TLTW-240SB-380;110000.00;110000.00;+0.00%;126160.00;126160.00;+0.00%;14.69%;Ні;*;недоступний у фіді
LL603R;1943.00;1943.00;+0.00%;2240.00;2240.00;+0.00%;14.91%;Ні;*;недоступний у фіді
LT30B;1456.00;1456.00;+0.00%;1680.00;1680.00;+0.00%;14.97%;Ні;*;недоступний у фіді
LTR-01;286.00;286.00;+0.00%;330.00;330.00;+0.00%;15.00%;Ні;*;недоступний у фіді
LWH0060;225.00;225.00;+0.00%;260.00;260.00;+0.00%;14.91%;Ні;*;недоступний у фіді
LWH0100;311.00;311.00;+0.00%;360.00;360.00;+0.00%;14.91%;Ні;*;недоступний у фіді
LWH0150;330.00;330.00;+0.00%;380.00;380.00;+0.00%;14.91%;Ні;*;недоступний у фіді
LWH0200;433.00;433.00;+0.00%;500.00;500.00;+0.00%;14.91%;Ні;*;недоступний у фіді
MBP0801;1401.00;1401.00;+0.00%;1610.00;1610.00;+0.00%;14.60%;Ні;*;недоступний у фіді
MC5-AIR;1630.00;1630.00;+0.00%;1880.00;1880.00;+0.00%;15.00%;Ні;*;недоступний у фіді
MFF0150;61.00;61.00;+0.00%;70.00;70.00;+0.00%;13.55%;Ні;*;недоступний у фіді
MFF0200;93.00;93.00;+0.00%;110.00;110.00;+0.00%;13.55%;Ні;*;недоступний у фіді
MFF0250;132.00;132.00;+0.00%;150.00;150.00;+0.00%;13.55%;Ні;*;недоступний у фіді
MFF0300;149.00;149.00;+0.00%;170.00;170.00;+0.00%;13.55%;Ні;*;недоступний у фіді
MHGP1501;6925.00;6925.00;+0.00%;7940.00;7940.00;+0.00%;14.60%;Ні;*;недоступний у фіді
MHGP2001;10289.00;10289.00;+0.00%;11800.00;11800.00;+0.00%;14.60%;Ні;*;недоступний у фіді
MHGP3001;12680.00;12680.00;+0.00%;14540.00;14540.00;+0.00%;14.60%;Ні;*;недоступний у фіді
MHGP5002;20297.00;20297.00;+0.00%;23270.00;23270.00;+0.00%;14.60%;Ні;*;недоступний у фіді
MPN0601;1254.00;1254.00;+0.00%;1450.00;1450.00;+0.00%;15.34%;Ні;*;недоступний у фіді
MTB300-1;726.00;726.00;+0.00%;840.00;840.00;+0.00%;14.95%;Ні;*;недоступний у фіді
MTB440-3;1187.00;1187.00;+0.00%;1370.00;1370.00;+0.00%;14.95%;Ні;*;недоступний у фіді
MTB540-5;1470.00;1470.00;+0.00%;1690.00;1690.00;+0.00%;14.95%;Ні;*;недоступний у фіді
MEGAFOGER;4500.00;4500.00;+0.00%;5180.00;5180.00;+0.00%;15.00%;Ні;*;недоступний у фіді
NK-200;3929.00;3929.00;+0.00%;4540.00;4540.00;+0.00%;15.34%;Ні;*;недоступний у фіді
NK-30;3929.00;3929.00;+0.00%;4540.00;4540.00;+0.00%;15.34%;Ні;*;недоступний у фіді
NK-300;3929.00;3929.00;+0.00%;4540.00;4540.00;+0.00%;15.34%;Ні;*;недоступний у фіді
NK-500;3929.00;3929.00;+0.00%;4540.00;4540.00;+0.00%;15.34%;Ні;*;недоступний у фіді
NS-AB-17G-2.0;429.00;429.00;+0.00%;490.00;490.00;+0.00%;13.20%;Ні;*;недоступний у фіді
NS-D-951-MINI-0.5;980.00;980.00;+0.00%;1110.00;1110.00;+0.00%;13.20%;Ні;*;недоступний у фіді
NS-D-951-MINI-0.5LM;980.00;980.00;+0.00%;1110.00;1110.00;+0.00%;13.20%;Ні;*;недоступний у фіді
NS-D-951-MINI-1.2;980.00;980.00;+0.00%;1110.00;1110.00;+0.00%;13.20%;Ні;*;недоступний у фіді
NS-GFG-1.4;1411.00;1411.00;+0.00%;1600.00;1600.00;+0.00%;13.20%;Ні;*;недоступний у фіді
NS-H-5005-1.3LM;2737.00;2737.00;+0.00%;3100.00;3100.00;+0.00%;13.20%;Ні;*;недоступний у фіді
NS-H-5005-1.4LM;2737.00;2737.00;+0.00%;3100.00;3100.00;+0.00%;13.20%;Ні;*;недоступний у фіді
NS-HD-1-1.3LM;1411.00;1411.00;+0.00%;1600.00;1600.00;+0.00%;13.20%;Ні;*;недоступний у фіді
NS-ST-3000-1.6LM;1214.00;1214.00;+0.00%;1380.00;1380.00;+0.00%;13.20%;Ні;*;недоступний у фіді
NS-ST-3000-1.8;1214.00;1214.00;+0.00%;1380.00;1380.00;+0.00%;13.20%;Ні;*;недоступний у фіді
NS-SHINE-1.4;1624.00;1624.00;+0.00%;1840.00;1840.00;+0.00%;13.20%;Ні;*;недоступний у фіді
NS-SHINE-MINI-0.8;1181.00;1181.00;+0.00%;1340.00;1340.00;+0.00%;13.20%;Ні;*;недоступний у фіді
NS-TTS-HV30-1.3;1531.00;1531.00;+0.00%;1740.00;1740.00;+0.00%;13.20%;Ні;*;недоступний у фіді
NTBT4004-X;9926.00;9926.00;+0.00%;11410.00;11410.00;+0.00%;14.95%;Ні;*;недоступний у фіді
NITROMAC;25432.00;25432.00;+0.00%;29250.00;29250.00;+0.00%;15.00%;Ні;*;недоступний у фіді
PBKB2R2410;405.00;405.00;+0.00%;470.00;470.00;+0.00%;15.14%;Ні;*;недоступний у фіді
PBKB2R2414;605.00;605.00;+0.00%;700.00;700.00;+0.00%;15.14%;Ні;*;недоступний у фіді
PBKB4B26103;395.00;395.00;+0.00%;460.00;460.00;+0.00%;15.14%;Ні;*;недоступний у фіді
PBW-053A;3913.00;3913.00;+0.00%;4500.00;4500.00;+0.00%;14.95%;Ні;*;недоступний у фіді
PCR6101;4455.00;4455.00;+0.00%;5110.00;5110.00;+0.00%;14.60%;Ні;*;недоступний у фіді
PLBN0108;146.00;146.00;+0.00%;170.00;170.00;+0.00%;13.65%;Ні;*;недоступний у фіді
PLDC0106;117.00;117.00;+0.00%;140.00;140.00;+0.00%;13.65%;Ні;*;недоступний у фіді
PLDC0107;142.00;142.00;+0.00%;170.00;170.00;+0.00%;13.65%;Ні;*;недоступний у фіді
PLHD0107;126.00;126.00;+0.00%;150.00;150.00;+0.00%;13.65%;Ні;*;недоступний у фіді
PLLN0106;113.00;113.00;+0.00%;130.00;130.00;+0.00%;13.65%;Ні;*;недоступний у фіді
