SKU;Ціна фіду стара;Ціна фіду нова;Зміна фіду %;Наша ціна стара;Наша ціна нова;Зміна нашої %;CPA %;Доступний;Залишок;Причина алерту
ANAF2470;17223.00;17223.00;+0.00%;19870.00;19870.00;+0.00%;15.34%;Ні;*;недоступний у фіді
ANAF2498;22073.00;22073.00;+0.00%;25460.00;25460.00;+0.00%;15.34%;Ні;*;недоступний у фіді
ANAF3298;21272.00;21272.00;+0.00%;24540.00;24540.00;+0.00%;15.34%;Ні;*;недоступний у фіді
ANAM32A0;39439.00;39439.00;+0.00%;45490.00;45490.00;+0.00%;15.34%;Ні;*;недоступний у фіді
ANCE1624;14788.00;14788.00;+0.00%;17010.00;17010.00;+0.00%;15.00%;Ні;*;недоступний у фіді
ANCE1648;45847.00;45847.00;+0.00%;52790.00;52790.00;+0.00%;15.14%;Ні;*;недоступний у фіді
AOAE0809;772.00;772.00;+0.00%;890.00;890.00;+0.00%;15.08%;Ні;*;недоступний у фіді
AOAE1011;797.00;797.00;+0.00%;920.00;920.00;+0.00%;15.08%;Ні;*;недоступний у фіді
AOAE1719;1096.00;1096.00;+0.00%;1270.00;1270.00;+0.00%;15.08%;Ні;*;недоступний у фіді
AOAG0809;465.00;465.00;+0.00%;540.00;540.00;+0.00%;15.08%;Ні;*;недоступний у фіді
AP8605-521;545.00;545.00;+0.00%;630.00;630.00;+0.00%;15.00%;Ні;*;недоступний у фіді
AP8605-523;545.00;545.00;+0.00%;630.00;630.00;+0.00%;15.00%;Ні;*;недоступний у фіді
AP8605-621;545.00;545.00;+0.00%;630.00;630.00;+0.00%;15.00%;Ні;*;недоступний у фіді
AT-010K;1060.00;1060.00;+0.00%;1180.00;1180.00;+0.00%;10.47%;Ні;*;недоступний у фіді
AT-4031B;1376.00;1376.00;+0.00%;1530.00;1530.00;+0.00%;11.18%;Ні;*;недоступний у фіді
AT-4038C;1318.00;1318.00;+0.00%;1470.00;1470.00;+0.00%;11.18%;Ні;*;недоступний у фіді
AT-6017;3343.00;3343.00;+0.00%;3700.00;3700.00;+0.00%;10.63%;Ні;*;недоступний у фіді
AT-7032B;656.00;656.00;+0.00%;730.00;730.00;+0.00%;10.47%;Ні;*;недоступний у фіді
AT-7038B;1555.00;1555.00;+0.00%;1790.00;1790.00;+0.00%;15.00%;Ні;*;недоступний у фіді
AT-8039P;3441.00;3441.00;+0.00%;3800.00;3800.00;+0.00%;10.38%;Ні;*;недоступний у фіді
AT-980-5;1827.00;1827.00;+0.00%;2020.00;2020.00;+0.00%;10.47%;Ні;*;недоступний у фіді
ATF-A6;78760.00;78760.00;+0.00%;89740.00;89740.00;+0.00%;13.94%;Ні;*;недоступний у фіді
AW-1150;136.00;136.00;+0.00%;160.00;160.00;+0.00%;15.21%;Ні;*;недоступний у фіді
AW-1250;256.00;256.00;+0.00%;300.00;300.00;+0.00%;15.21%;Ні;*;недоступний у фіді
AW-1300;353.00;353.00;+0.00%;410.00;410.00;+0.00%;15.21%;Ні;*;недоступний у фіді
AW-1380;598.00;598.00;+0.00%;690.00;690.00;+0.00%;15.21%;Ні;*;недоступний у фіді
AWJ3-085;6754.00;6754.00;+0.00%;7800.00;7800.00;+0.00%;15.34%;Ні;*;недоступний у фіді
AWJ3-135;7458.00;7458.00;+0.00%;8610.00;8610.00;+0.00%;15.34%;Ні;*;недоступний у фіді
AWJ4-200;8136.00;8136.00;+0.00%;9390.00;9390.00;+0.00%;15.34%;Ні;*;недоступний у фіді
AWJ4-340;7572.00;7572.00;+0.00%;8740.00;8740.00;+0.00%;15.34%;Ні;*;недоступний у фіді
AWJ6-500;20148.00;20148.00;+0.00%;23240.00;23240.00;+0.00%;15.34%;Ні;*;недоступний у фіді
AWM-10;4743.00;4743.00;+0.00%;5480.00;5480.00;+0.00%;15.34%;Ні;*;недоступний у фіді
AWM-100;5425.00;5425.00;+0.00%;6260.00;6260.00;+0.00%;15.34%;Ні;*;недоступний у фіді
AWM-30;4748.00;4748.00;+0.00%;5480.00;5480.00;+0.00%;15.34%;Ні;*;недоступний у фіді
AWM-60;5152.00;5152.00;+0.00%;5950.00;5950.00;+0.00%;15.34%;Ні;*;недоступний у фіді
AWR2150;141.00;141.00;+0.00%;170.00;170.00;+0.00%;15.21%;Ні;*;недоступний у фіді
AWR2250;300.00;300.00;+0.00%;350.00;350.00;+0.00%;15.21%;Ні;*;недоступний у фіді
AWSJ3150;373.00;373.00;+0.00%;430.00;430.00;+0.00%;15.21%;Ні;*;недоступний у фіді
AWSJ3200;480.00;480.00;+0.00%;560.00;560.00;+0.00%;15.21%;Ні;*;недоступний у фіді
AWSJ3300;1099.00;1099.00;+0.00%;1270.00;1270.00;+0.00%;15.21%;Ні;*;недоступний у фіді
AXG00010003;4660.00;4660.00;+0.00%;5360.00;5360.00;+0.00%;15.00%;Ні;*;недоступний у фіді
AXG00010004;4882.00;4882.00;+0.00%;5620.00;5620.00;+0.00%;15.00%;Ні;*;недоступний у фіді
AXG00012201;4888.00;4888.00;+0.00%;5630.00;5630.00;+0.00%;15.00%;Ні;*;недоступний у фіді
AXG00012202;5346.00;5346.00;+0.00%;6150.00;6150.00;+0.00%;15.00%;Ні;*;недоступний у фіді
AYQ-6;3401.00;3401.00;+0.00%;3930.00;3930.00;+0.00%;15.29%;Ні;*;недоступний у фіді
BCDB0803;64.00;64.00;+0.00%;80.00;80.00;+0.00%;15.14%;Ні;*;недоступний у фіді
BCFB0810;64.00;64.00;+0.00%;80.00;80.00;+0.00%;15.14%;Ні;*;недоступний у фіді
BG-2;166.00;166.00;+0.00%;190.00;190.00;+0.00%;10.63%;Ні;*;недоступний у фіді
BJIR041MB;5511.00;5511.00;+0.00%;6320.00;6320.00;+0.00%;14.60%;Ні;*;недоступний у фіді
BRIS2075;7816.00;7816.00;+0.00%;8960.00;8960.00;+0.00%;14.60%;Ні;*;недоступний у фіді
BRSP1158;1591.00;1591.00;+0.00%;1830.00;1830.00;+0.00%;14.60%;Ні;*;недоступний у фіді
BRSP2373;2248.00;2248.00;+0.00%;2580.00;2580.00;+0.00%;14.60%;Ні;*;недоступний у фіді
BSSW2108;256.00;256.00;+0.00%;300.00;300.00;+0.00%;15.00%;Ні;*;недоступний у фіді
BST580D;5720.00;5720.00;+0.00%;6560.00;6560.00;+0.00%;14.66%;Ні;*;недоступний у фіді
BST880D;11000.00;11000.00;+0.00%;12620.00;12620.00;+0.00%;14.66%;Ні;*;недоступний у фіді
BTTP1403;190.00;190.00;+0.00%;220.00;220.00;+0.00%;14.60%;Ні;*;недоступний у фіді
C-M-0400000;10736.00;10736.00;+0.00%;12320.00;12320.00;+0.00%;14.74%;Ні;*;недоступний у фіді
CAED1616;379.00;379.00;+0.00%;440.00;440.00;+0.00%;15.14%;Ні;*;недоступний у фіді
CAKA1924;160.00;160.00;+0.00%;190.00;190.00;+0.00%;15.14%;Ні;*;недоступний у фіді
CAQA1255;735.00;735.00;+0.00%;850.00;850.00;+0.00%;14.92%;Ні;*;недоступний у фіді
CAQA1660;738.00;738.00;+0.00%;850.00;850.00;+0.00%;14.92%;Ні;*;недоступний у фіді
CHBW0107;521.00;521.00;+0.00%;600.00;600.00;+0.00%;14.60%;Ні;*;недоступний у фіді
CJEK0819;1321.00;1321.00;+0.00%;1520.00;1520.00;+0.00%;14.92%;Ні;*;недоступний у фіді
